Sentence,Gold,Pred
9,"('tumourigenesis', 'O')","('tumourigenesis', 'B')"
46,"('neoplastic', 'O')","('neoplastic', 'B')"
47,"('tumor', 'O')","('tumor', 'B')"
49,"('tumorigenicity', 'O')","('tumorigenicity', 'B')"
50,"('death', 'O')","('death', 'I')"
51,"('prostate', 'O')","('prostate', 'B')"
119,"('tumor', 'B')","('tumor', 'O')"
136,"('atherogenicity', 'O')","('atherogenicity', 'B')"
160,"('breast', 'O')","('breast', 'B')"
186,"('non', 'B')","('non', 'O')"
187,"('non', 'B')","('non', 'O')"
197,"('microsatellite', 'O')","('microsatellite', 'B')"
221,"('oncogenesis', 'O')","('oncogenesis', 'B')"
223,"('Portici', 'O')","('Portici', 'B')"
271,"('growth', 'O')","('growth', 'B')"
307,"('stage', 'B')","('stage', 'O')"
328,"('chromosomal', 'O')","('chromosomal', 'B')"
349,"('tumor', 'B')","('tumor', 'O')"
383,"('tumor', 'B')","('tumor', 'O')"
431,"('Aspergillus', 'O')","('Aspergillus', 'B')"
439,"('tumor', 'B')","('tumor', 'O')"
440,"('primary', 'B')","('primary', 'O')"
489,"('tumour', 'B')","('tumour', 'O')"
494,"('Irish', 'O')","('Irish', 'B')"
495,"('Irish', 'O')","('Irish', 'B')"
496,"('Irish', 'O')","('Irish', 'B')"
498,"('GALT', 'O')","('GALT', 'B')"
511,"('tumorigenesis', 'O')","('tumorigenesis', 'B')"
536,"('GALC', 'O')","('GALC', 'B')"
